date,Kyoto travel,Tokyo travel,isPartial
2015-01-01,25,63,False
2015-02-01,20,63,False
2015-03-01,31,76,False
2015-04-01,34,74,False
2015-05-01,27,77,False
2015-06-01,29,79,False
2015-07-01,31,65,False
2015-08-01,27,73,False
2015-09-01,23,63,False
2015-10-01,38,65,False
2015-11-01,30,57,False
2015-12-01,27,66,False
2016-01-01,27,68,False
2016-02-01,26,71,False
2016-03-01,40,74,False
2016-04-01,34,86,False
2016-05-01,33,78,False
2016-06-01,32,63,False
2016-07-01,32,83,False
2016-08-01,28,68,False
2016-09-01,33,63,False
2016-10-01,40,74,False
2016-11-01,36,83,False
2016-12-01,33,77,False
2017-01-01,25,61,False
2017-02-01,25,61,False
2017-03-01,35,63,False
2017-04-01,51,88,False
2017-05-01,36,70,False
2017-06-01,37,68,False
2017-07-01,24,65,False
2017-08-01,23,57,False
2017-09-01,26,63,False
2017-10-01,39,74,False
2017-11-01,38,79,False
2017-12-01,25,76,False
2018-01-01,22,64,False
2018-02-01,27,68,False
2018-03-01,39,72,False
2018-04-01,47,85,False
2018-05-01,32,83,False
2018-06-01,33,71,False
2018-07-01,31,80,False
2018-08-01,20,57,False
2018-09-01,33,79,False
2018-10-01,40,83,False
2018-11-01,34,73,False
2018-12-01,26,65,False
2019-01-01,22,60,False
2019-02-01,18,64,False
2019-03-01,39,73,False
2019-04-01,41,91,False
2019-05-01,35,66,False
2019-06-01,29,76,False
2019-07-01,28,64,False
2019-08-01,26,63,False
2019-09-01,31,70,False
2019-10-01,38,100,False
2019-11-01,37,78,False
2019-12-01,29,69,False
2020-01-01,18,69,False
2020-02-01,21,68,False
2020-03-01,11,57,False
2020-04-01,0,13,False
2020-05-01,4,17,False
2020-06-01,6,27,False
2020-07-01,6,36,False
2020-08-01,5,26,False
2020-09-01,14,54,False
2020-10-01,16,56,False
2020-11-01,15,42,False
2020-12-01,6,31,False
2021-01-01,5,22,False
2021-02-01,5,19,False
2021-03-01,5,24,False
2021-04-01,0,23,False
2021-05-01,0,20,False
2021-06-01,7,21,False
2021-07-01,4,22,False
2021-08-01,0,22,False
2021-09-01,0,15,False
2021-10-01,7,24,False
2021-11-01,4,26,False
2021-12-01,5,29,False
2022-01-01,5,25,False
2022-02-01,6,22,False
2022-03-01,8,40,False
2022-04-01,7,38,False
2022-05-01,7,34,False
2022-06-01,9,39,False
2022-07-01,8,38,False
2022-08-01,10,30,False
2022-09-01,9,32,False
2022-10-01,18,47,False
2022-11-01,17,52,False
2022-12-01,16,57,False
2023-01-01,15,51,False
2023-02-01,16,59,False
2023-03-01,27,58,False
2023-04-01,33,73,False
2023-05-01,27,62,False
2023-06-01,22,60,False
2023-07-01,17,64,False
2023-08-01,20,54,False
2023-09-01,30,67,False
2023-10-01,37,80,False
2023-11-01,32,69,False
2023-12-01,25,66,False
2024-01-01,16,52,False
2024-02-01,20,61,False
2024-03-01,30,86,False
2024-04-01,34,80,False
2024-05-01,34,79,False
2024-06-01,25,65,False
2024-07-01,23,72,False
2024-08-01,23,67,False
2024-09-01,33,72,False
2024-10-01,37,82,False
2024-11-01,39,92,False
2024-12-01,27,73,False
2025-01-01,21,69,False
2025-02-01,19,68,False
2025-03-01,37,82,False
2025-04-01,42,88,False
2025-05-01,33,77,False
2025-06-01,32,66,False
2025-07-01,22,58,False
2025-08-01,23,59,False
2025-09-01,29,78,False
2025-10-01,40,83,False
2025-11-01,39,88,True
